method,male_cutoff_hz,female_cutoff_hz,male_si_sdr_db,female_si_sdr_db,avg_si_sdr_db,min_si_sdr_db,male_snr_db,female_snr_db,male_corr,female_corr,avg_corr,male_spectral_l1,female_spectral_l1,reconstruction_error,balanced_score
Butterworth,1050.0,1300.0,1.0383221238613074,-6.027748121106018,-2.4947129986223553,-6.027748121106018,2.9287769274046154,0.9168516932019282,0.7479889935909808,0.44691921003788004,0.5974541018144304,nan,nan,0.10289207040132184,-4.519462996349148
Butterworth,1250.0,1350.0,1.1189120954285767,-6.196447181004769,-2.5387675427880962,-6.196447181004769,2.9142968472452346,0.880806178560508,0.75103650047833,0.44000018299013616,0.5955183417342331,nan,nan,0.03941354942720974,-4.524781548676434
Butterworth,600.0,1150.0,1.1399825854541727,-5.656044366179178,-2.2580308903625026,-5.656044366179178,3.427581850960247,1.0054278801034555,0.7518300738151249,0.46235201680570703,0.6070910453104159,nan,nan,0.33560877510118264,-4.543088533033625
Butterworth,750.0,1200.0,0.9280517203757344,-5.759559192735174,-2.41575373617972,-5.759559192735174,3.058759962521724,0.9791430106224086,0.7437879956691509,0.45802914138630985,0.6009085685277303,nan,nan,0.22663862952940267,-4.546993454550652
Butterworth,1200.0,1350.0,1.1174682889944023,-6.196447181004769,-2.5394894460051836,-6.196447181004769,2.927770067275372,0.880806178560508,0.7509820738325408,0.44000018299013616,0.5954911284113384,nan,nan,0.05907381768718937,-4.56487841505927
Butterworth,900.0,1250.0,0.8746472129214155,-5.882182324044294,-2.5037675555614394,-5.882182324044294,2.8944907817183427,0.9497370818840387,0.7417406890691861,0.4529329775681296,0.5973368333186578,nan,nan,0.1580089275528692,-4.566202906052009
Butterworth,700.0,1200.0,0.9804949609694873,-5.759559192735174,-2.3895321158828433,-5.759559192735174,3.153645726888363,0.9791430106224086,0.7457903874061279,0.45802914138630985,0.6019097643962189,nan,nan,0.2630508270680577,-4.591593837594108
Butterworth,1000.0,1300.0,0.9850208582244385,-6.027748121106018,-2.52136363144079,-6.027748121106018,2.9152658060467793,0.9168516932019282,0.7459628184880208,0.44691921003788004,0.5964410142629504,nan,nan,0.1257523033400274,-4.593860270147953
Butterworth,1150.0,1350.0,1.104330534406345,-6.196447181004769,-2.5460583232992122,-6.196447181004769,2.934923931305802,0.880806178560508,0.7504865372135556,0.44000018299013616,0.5952433601018459,nan,nan,0.07854671539040366,-4.610888624378712
Butterworth,850.0,1250.0,0.8546389815117222,-5.882182324044294,-2.513771671266286,-5.882182324044294,2.9157078505843255,0.9497370818840387,0.7409715394020552,0.4529329775681296,0.5969522584850924,nan,nan,0.18157609055957144,-4.624110497437391
Butterworth,650.0,1200.0,1.033408859082625,-5.759559192735174,-2.3630751668262744,-5.759559192735174,3.2626587984970317,0.9791430106224086,0.7478025735595151,0.45802914138630985,0.6029158574729124,nan,nan,0.30170308310538063,-4.6404292144587975
Butterworth,800.0,1250.0,0.8770437141142815,-5.882182324044294,-2.5025693049650064,-5.882182324044294,2.973529339629064,0.9497370818840387,0.7418327374065814,0.4529329775681296,0.5973828574873555,nan,nan,0.20717913693176776,-4.663253025875978
Butterworth,1100.0,1350.0,1.0783652848124894,-6.196447181004769,-2.55904094809614,-6.196447181004769,2.9354980505374364,0.880806178560508,0.7495056463710354,0.44000018299013616,0.5947529146805858,nan,nan,0.09833358220097065,-4.664425873639295
Butterworth,600.0,1200.0,1.1399825854541727,-5.759559192735174,-2.3097883036405005,-5.759559192735174,3.427581850960247,0.9791430106224086,0.7518300738151249,0.45802914138630985,0.6049296076007173,nan,nan,0.3441391429532767,-4.667986970713207
Butterworth,950.0,1300.0,0.9252372478621034,-6.027748121106018,-2.5512554366219575,-6.027748121106018,2.8998966564318795,0.9168516932019282,0.7436803066474288,0.44691921003788004,0.5952997583426545,nan,nan,0.14885345202747935,-4.672236884544617
Butterworth,750.0,1250.0,0.9280517203757344,-5.882182324044294,-2.47706530183428,-5.882182324044294,3.058759962521724,0.9497370818840387,0.7437879956691509,0.4529329775681296,0.5983604866186403,nan,nan,0.23766559132752008,-4.696766673274187
Butterworth,1300.0,1400.0,1.109773592028699,-6.384788276478276,-2.6375073422247883,-6.384788276478276,2.8946508840173673,0.8423392193141666,0.7506919040912008,0.4323419219948575,0.5915169130430291,nan,nan,0.038478807794700184,-4.723825269967268
Butterworth,1050.0,1350.0,1.0383221238613074,-6.196447181004769,-2.579062528571731,-6.196447181004769,2.9287769274046154,0.880806178560508,0.7479889935909808,0.44000018299013616,0.5939945882905585,nan,nan,0.11902215982444177,-4.727341262141882
Butterworth,700.0,1250.0,0.9804949609694873,-5.882182324044294,-2.4508436815374033,-5.882182324044294,3.153645726888363,0.9497370818840387,0.7457903874061279,0.4529329775681296,0.5993616824871287,nan,nan,0.2727668062153016,-4.738745091015896
